"pays","longitude","latitude","eve_jour","eve_mois","eve_annee","sou_descriptif_evenement","imp_bati","imp_ouvrage_protection","imp_infrastructure_port","imp_mer","imp_reseau_transport","imp_autre_reseau","imp_foncier_agricole","imp_cote","imp_infrastructure_public","imp_vegetation","imp_degat_humain","imp_risque_techno","imp_descriptif"
"France","-4.502780101120607","48.39989618456144",14,2,1900,"Un cyclone, comme on en voit rarement dans nos régions, a sévi, avant-hier, brusquement vers neuf heures du soir, étendant ses ravages non seulement à notre région, mais au reste de la France. Les dégâts sont énormes, les victimes nombreuses ». Dépèche de Brest du 15 février 1900 Cette tempête s'est traduite par de fortes rafales de sud-ouest sur l'Ouest et le Centre du pays ainsi que par de très violentes rafales de nord-ouest sur le littoral de la Manche. Le département du Maine-et-Loire est un des départements les plus durement touchés. En mer, les sinistres sont nombreux mais les dégâts causés par les vagues sur les communes du littoral ont été limités en raison de coefficients de marée modérés. Le 13 février 1900 à 0 UTC, un vaste système dépressionnaire couvre l'Atlantique Nord-est et une grande partie de l'Europe. Les hautes valeurs de pression sont reléguées de l'autre côté du bassin océanique, entre Terre-Neuve et le Groenland. La tempête est liée au creusement de la dépression positionnée en entrée gauche d'un courant jet qui surplombe les Cantabriques et le sud de la France. 
Cette tempête a fait l’objet d’un compte-rendu dans les Annales du Bureau Central de la Météorologie pour l’année 1900. Le 13 février vers 7h du matin, on observe des vents généralement faibles d’Est à Sud-est pilotés par la présence de deux petites dépressions secondaires situées l’une vers la Bretagne, l’autre vers le Golfe de Gênes. Toutefois, « ils soufflent déjà assez forts de l’Est sur la pointe et le littoral Sud de la Bretagne, fort de Sud-est à Toulouse […]. Le mouvement secondaire de Bretagne domine la situation : à partir de 9h du matin une chute très rapide du baromètre a lieu ; à midi, la baisse atteint déjà 14 mm [un peu moins de 19 hPa] à Brest, où les hauteurs sont tombées dans le voisinage de 735 mm [980 hPa]. La dépression continue de se creuser dans la journée, le minimum semble se produire vers 8h du soir, moment auquel la pression s’abaisse à 729,9 m [973 hPa] à la Pointe St- Mathieu ; en même temps les vents tournent au Sud et deviennent violents. Pendant la nuit du 13 au 14, la bourrasque continue sa marche vers l’Est-Nord-Est, son centre se trouve au nord de Paris vers 3h du matin, et près de Bruxelles (739 mm) [985 hPa], le 14 à 7h du matin. Cette perturbation amène des orages qui éclatent sur la plus grande partie du territoire français, et qui sont suivis d’un violent ouragan […]. Les premiers effets graves de cet ouragan ont été ressentis dans le département des Deux-Sèvres vers 7h du soir, ils se sont ensuite propagés avec une rapidité foudroyante à toutes les régions situées vers l’Est et le Nord-est. On pourra juger de leur importance quand on saura que la bourrasque qui les a causés s’est propagée avec une vitesse dépassant 100 km/h et qu’à Paris, à la tour Eiffel, le vent a atteint à minuit 25, le 14, la vitesse instantanée de 44 m/s (158 km/h), et que 5 heures après la vitesse moyenne était encore de 39,2 m/s (140 km/h) […]. A partir de Bruxelles, le centre de tempête se dirige vers Prague […] et la pression se relève fortement sur nos régions ; en 24 heures la hausse atteint, à Paris 29 mm : une variation d’aussi grande amplitude et aussi brusque se présente seulement une ou deux fois par siècle ». Extrait du compte-rendu d'intervention du canot de sauvetage de Belle-Ile-en-Mer tiré des ""Annales du Sauvetage"" : (Le Palais) - ""Dans la soirée du 13 au 14 février, le vent d'WSW déjà violent vers huit heures devint rapidement de plus en plus fort et soufflait en tempête à dix heures […], vers onze heures la tempête ne faisait qu'augmenter […], entre minuit et une heure, le vent faisant rage sauta à l'WNW […], la mer déjà grosse devint brusquement furieuse […], à partir d'une heure trois-quarts, la force du vent commençait à diminuer."" 
4– Etats de mer 
Alors que le 13 au matin, la mer est dans l’ensemble peu agitée à agitée en l’espace d’une journée elle devient nettement plus formée jusqu’à devenir très grosse à la fois en Manche comme à Cherbourg ou en Atlantique comme à la pointe de Chassiron en Charente. A Brest, la surcote maximale est observée le 13 vers 20 heures soit deux heures avant la basse mer. Elle atteint 59 cm, ce qui est plus que le seul effet du minimum barométrique estimé alors à 973 hPa. Les vents orientés sud à sud-ouest sont donc à l’origine d’un afflux des eaux de surface à la côte. La hauteur maximale observée est de 6,88 m, le 13 à 16 UTC, à marée montante alors que la dépression approche. Il aurait été intéressant de mener la même étude à partir des données de marégraphes situés en Manche et de voir comment s'est traduit le coup de vent de nord-ouest en terme de surcote lors de la pleine mer du 14. 
5 Impact La violente tempête qui a sévi dans la nuit du 13 au 14 a provoqué d’importants dégâts sur les communes du littoral de la Manche et de l’Atlantique mais également dans l’intérieur. On relève plusieurs accidents mortels liés à des chutes d’arbres ou consécutifs à des effondrements de toitures. La tempête a entraîné de fréquents problèmes de communications : la circulation des trains a été contrariée par la présence d’obstacles en travers des voies et de nombreux poteaux télégraphiques ont été jetés à terre. Le monde de la mer a eu à déplorer la perte de nombreux bateaux et la disparition de plusieurs marins. Les Annales du BCM cite le Maine-et-Loire comme le département où l’étendue des dégâts liés à la tempête serait la plus importante : on y relève plusieurs victimes, d'importants dégâts sur les toitures et les édifices, ainsi que de nombreux bateaux-lavoirs et barges coulés. 
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Un cyclone, comme on en voit rarement dans nos régions, a sévi, avant-hier, brusquement vers neuf heures du soir, étendant ses ravages non seulement à notre région, mais au reste de la France. Les dégâts sont énormes, les victimes nombreuses."
"France","-4.495039939341552","48.38290023985434",14,2,1900,"Brest: 0.54",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Brest: 0.54"
"France","1.8759118288679701","50.95005633613118",25,11,1902,"Violente tempête du Sud à Belle-Île. Un « raz de marée » a occasionné beaucoup de dégâts dans le port du Palais. » (L'Avenir du Morbihan, 29-11-1902). Photos ci-dessous du Palais (Belle-Île). Cette tempête affecte l'Atlantique et la Manche (raz de marée à Calais).",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[...] Cette tempête affecte l'Atlantique et la Manche (raz de marée à Calais)."
"France","-3.170920557237764","47.34281348685312",25,11,1902,"Violente tempête du Sud à Belle-Île. Un « raz de marée » a occasionné beaucoup de dégâts dans le port du Palais. » (L'Avenir du Morbihan, 29-11-1902). Photos ci-dessous du Palais (Belle-Île). Cette tempête affecte l'Atlantique et la Manche (raz de marée à Calais).",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Violente tempête du Sud à Belle-Île. Un « raz de marée » a occasionné beaucoup de dégâts dans le port du Palais."
"France","-1.1749893549745707","46.161953645244694",25,11,1902,"La presse évoque « l'ouragan qui se calme ». Un bateau de pèche jeté à la côte. « Les vagues étaient si fortes que le bateau-phare du Grand-Banc a disparu. La chaloupe Marie-de-Fouras, jetée sur les rochers, a été brisée. » (La Presse, 29-11-1902).",NULL,NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[...] Un bateau de pèche jeté à la côte. « Les vagues étaient si fortes que le bateau-phare du Grand-Banc a disparu. La chaloupe Marie-de-Fouras, jetée sur les rochers, a été brisée. »"
"France","-2.3036587718355945","47.52018114132364",27,2,1903,"Le remblais du chemin de fer de la Roche-Bernard, vient d'être emporté par la mer, dans sa traversée du marais d'Ambon",NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Le remblais du chemin de fer de la Roche-Bernard, vient d'être emporté par la mer, dans sa traversée du marais d'Ambon"
"France","-3.378831036722829","47.750261137042",27,2,1903,"Lorient, malgré la violence de la tempête, les dégâts ont été relativement peu importants. Quelques caves des quais ont été inondés",True,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Quelques caves des quais ont été inondés"
"France","-3.378831036722829","47.750261137042",27,2,1903,"Samedi matin, à l'heure de la marée, les flots poussés par le vent, ont inondé la place de la Poissonnerie et de nombreuses caves",True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,"[...] les flots poussés par le vent, ont inondé la place de la Poissonnerie et de nombreuses caves"
"France","-3.2307937723145983","47.353962092676625",27,2,1903,"Port de Port-Blanc (Belle-Ile-en-Mer) - Réparation du Môle - La tempête de février 1903 a causé au môle du port de Port- Blanc des dégâts très importants. Une brèche de 25 mètres de longueur a été creusée dans cet ouvrage par la grosse mer. La démolition est complète sur toute la hauteur du môle",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Réparation du Môle - La tempête de février 1903 a causé au môle du port de Port- Blanc des dégâts très importants. Une brèche de 25 mètres de longueur a été creusée dans cet ouvrage par la grosse mer. La démolition est complète sur toute la hauteur du môle"
"France","-1.1745787200317181","44.65335583900094",1,3,1903,"Pertes dans le début des travaux de la jetée Thiers, quelques bateaux envolés, parcs à  huitres détruits partiellement. Toutefois cette tempête ne causera probablement pas d'aussi grands ravages que d'autres parce qu'elle est venue progressivement, ce qui a donné le temps de se précautionner dans la mesure du possible",NULL,NULL,True,True,NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,"Pertes dans le début des travaux de la jetée Thiers, quelques bateaux envolés, parcs à  huitres détruits partiellement."
"France","0.20472630037863837","49.70402599290543",10,9,1903,"La tempête éclate dans la nuit du jeudi 10 septembre 1903, causant des dégâts très importants. Sur la plage près de deux cents cabines de bains sont enlevées par la mer en furie. Les bureaux des bains, le magasin des costumes, les deux tremplins et les trois escaliers du casino ont disparu.",True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,"Sur la plage près de deux cents cabines de bains sont enlevées par la mer en furie. Les bureaux des bains, le magasin des costumes, les deux tremplins et les trois escaliers du casino ont disparu."
"France","-3.1228501831892572","47.487977398438375",12,12,1903,"Le brise-lames de Port-Maria de Quiberon a subi dans la nuit du 13 au 14 janvier 1904 une très grave avarie, par une forte tempête d'Est et Sud-Est. Cet ouvrage a été percé de part en part. La brèche formée avait une longueur de 13m sur les faces extérieures, 5,20 au centre et une hauteur de 2m80 à 3m50 représentant 120m3 de maçonnerie",NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Le brise-lames de Port-Maria de Quiberon a subi dans la nuit du 13 au 14 janvier 1904 une très grave avarie, [...]. Cet ouvrage a été percé de part en part. La brèche formée avait une longueur de 13m sur les faces extérieures, 5,20 au centre et une hauteur de 2m80 à 3m50 représentant 120m3 de maçonnerie"
"France","-3.378831036722829","47.750261137042",12,12,1903,"Je serai très obligé à Monsieur le Lieutenant chargé de l'observatoire de me donner si possible les renseignements ci-après sur la tempête des 11 et 12 décembre: Direction du vent, Pression barométrique minima, Vitesse maxima du vent, Hauteur de la pleine mer. Ces renseignements me seraient utiles pour répondre à une réclamation d'Entrepreneur dont les ouvrages situés au bord du Scorff ont subi des avaries du fait de la tempête. » Réponse : « Les renseignements demandés ci-contre sont les suivants : Direction du vent : 11 Décembre 1903 : 8h:Ouest Nord-Ouest (force 3) 12h : Est Sud-Est (force 2) 14h : Ouest (force 1) 18h : calme 20h : calme 12 Décembre 1903 : 8h : Sud-Est (force 7) 12h : Sud (force8) 14h : Sud (force 8) 18h : Sud (force 8) 20h:Sud (force 8) Pression barométrique minimum : a eu lieu à 20h45 le 12 Décembre : 733 m/m3 à l'observatoire, ce qui correspond à 735 m/m6 pour la pression minimum réduite au niveau de la mer. Vitesse maximum du vent: l'observatoire n'a pas d'anémomètre. La vitesse du vent est appréciée de sentiment. Le plus fort chiffre enregistré dans la soirée du 12 pour la force du vent est 8 ce qui correspond vaguement à une vitesse de 100 kilomètres à l'heure. Hauteur de la pleine mer: l'observatoire n'est pas chargé de s'occuper des marées. Je ne puis donc fournir de renseignement observé. Si les Travaux Hydrauliques n'ont plus l'annuaire de 1903, voici ce que ce recueil indique : 11 Décembre 1903, pleine mer à Port Louis: hauteur en mètres à 8h55= 4,35m et à 21h30=4,20m. 12 Décembre 1903, pleine mer à Port-Louis: hauteur en mètres à 10h06=4,25m et à 22h47=4,15m",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ces renseignements me seraient utiles pour répondre à une réclamation d'Entrepreneur dont les ouvrages situés au bord du Scorff ont subi des avaries du fait de la tempête."
"France","-3.4421774865499963","47.73249770833673",12,12,1903,"La violente tempête du Sud qui a sévi sur notre littoral le 12 décembre courant a produit un certain nombre de dégradations aux ouvrages de notre service, ces dégradations n'ont du reste pour quelques ouvrages qu'une importance relativement faible et les crédits d'entretien pensent y parer. Mais des avaries sérieuses se sont produites à la cale de Lomener, sur le littoral de la commune de Ploemeur, qui a été démolie sur 1/3 environ de sa longueur : [...] Nous pensons que la démolition qui vient de se produire est une conséquence du peu de résistance à la mer de la maçonnerie de chaux hydraulique. [...] La tempête du 12 décembre a été particulièrement violente et l'ouvrage en question étant battu par la mer. Malgré que les joints fussent saints, le choc des lames a dû démolir d'abord quelques pierres de tablette et partie du cantelage et la mer a eu ensuite une prise facile dans le coeur de la maçonnerie",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mais des avaries sérieuses se sont produites à la cale de Lomener, sur le littoral de la commune de Ploemeur, qui a été démolie sur 1/3 environ de sa longueur : [......]"
"France","-3.4197363166876538","47.784071637585036",12,12,1903,"L'attachement des dégâts causés par la tempête du 12 décembre 1903, sur la route d'accès de Kerdual à Sac Quéven porté au numéro 6, folios 16 et 17 de mon carnet d'attachement accepté par Monsieur Jamet entrepreneur, comprend la reconstruction de la tablette du perré avec mortier de chaux hydraulique sur une longueur de 160. Le mortier de ces maçonneries n'ayant pas eu le temps de faire prise a été complètement enlevé par la mer poussée par le vent très violent qu'il faisait, une partie du perré a été complètement enlevée",NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"L'attachement des dégâts causés par la tempête du 12 décembre 1903, sur la route d'accès de Kerdual à Sac Quéven porté au numéro 6, folios 16 et 17 de mon carnet d'attachement accepté par Monsieur Jamet entrepreneur, comprend la reconstruction de la tablette du perré avec mortier de chaux hydraulique sur une longueur de 160. Le mortier de ces maçonneries n'ayant pas eu le temps de faire prise a été complètement enlevé par la mer poussée par le vent très violent qu'il faisait, une partie du perré a été complètement enlevée"
"France","-3.4197363166876538","47.784071637585036",12,12,1903,"Des dégâts ayant été occasionnés à mes travaux de construction de la route de Kerdual à Sac Quéven à la suite de la tempête qui a sévi les vendredi et samedi 11 et 12 courant, j'ai l'honneur de venir vous demander de vouloir bien, en raison de cas de force majeure prévu par l'article 28 du cahier des clauses et conditions générales, faire qu'il m'en soit tenu compte",NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Des dégâts ayant été occasionnés à mes travaux de construction de la route de Kerdual à Sac Quéven [...]"
"France","-3.170920557237764","47.34281348685312",12,12,1903,"Depuis le 11 décembre le vent souffle en tempête du Sud-Sud-Est et la mer très grosse déferle sur la digue sud du port de Palais. A certain moment les lames ont atteint une telle hauteur qu'elles ont recouvert l'Abri du Marin qui a été inondé",True,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[...] la mer très grosse déferle sur la digue sud du port de Palais. A certain moment les lames ont atteint une telle hauteur qu'elles ont recouvert l'Abri du Marin qui a été inondé"
"France","-1.3052866403659777","45.93954567978943",3,2,1904,"à Larmor on signale des avaries causées par la mer. La nuit dernière l'Océan a été de nouveau soulevé par la tempête du sud : outre les quartiers déjà désignés, les quais du port militaire, les quais et la place d'Alger, ont été envahis ce matin à quatre heure et les maison riveraines en partie noyées. Les habitants ont dû se réfugier aux étages en attendant le flux. [...] à Gâvres on signale des avaries causées par la mer. A Groix, on signale de grands dégâts dans les travaux du port de Locmaria. La mer est très houleuse autour de la presqu'Ile et les navires de pêche chassent sur leurs ancres dans les anses de mouillage. Dans l'après-midi du 2 février, l'isthme du fort de Penthièvre, qui est l'endroit le plus étroit de la presqu'île a été totalement recouvert par l'eau , la circulation a été un moment impossible sur toute la route et le train se rendant à Auray a roulé ses roues dans l'eau sur une longueur de 80 à 100 mètres... Mardi à marée haute, les quais et particulièrement le quai de l'enfer à Saint-Goustan ont été couverts par la mer. Le Palais : Depuis huit jours, nous avons ici un temps détestable. Le vent, la pluie, la grêle se succèdent avec un en train déconcertant, et il n'est pas rare de voir les éclairs et le tonnerre se mettre de la partie. La mer, toujours grosse, balaie sans cesse nos côtes et fait rage dans le port. Le ressac est tellement fort que les bateaux et les vapeurs ne peuvent que difficilement accoster les quais. Mardi matin, à l'heure de la pleine mer, l'eau a débordé de toutes parts sur les quais et un grand nombre de maison ont été inondées. Il a fallu faire appel aux pompes à incendie pour vider les caves et les sous-sols d'un grand nombre de magasins et de maisons particulières.[...] Les quais sont endommagés dans les différents endroits du port",NULL,NULL,NULL,True,True,NULL,True,True,NULL,NULL,NULL,NULL,"La mer est très houleuse autour de la presqu'Ile et les navires de pêche chassent sur leurs ancres dans les anses de mouillage. Dans l'après-midi du 2 février, l'isthme du fort de Penthièvre, qui est l'endroit le plus étroit de la presqu'île a été totalement recouvert par l'eau , la circulation a été un moment impossible sur toute la route et le train se rendant à Auray a roulé ses roues dans l'eau sur une longueur de 80 à 100 mètres... Mardi à marée haute, [...]"
"France","-3.464746858280705","47.6370595959238",3,2,1904,"A Lorient, enfin, la mer a dépassé le niveau des quais et a envahi mardi matin le côte d'Alger, ainsi que cela arrivait avant l'exhaussement de ce quartier, à chaque marée importante. Les habitants des immeubles Espinet ont dû comme autrefois abandonner les rez-de-chaussée envahis pas l'eau. A la Nouvelle-Ville, la mer a reflué dans l'égout de la rue Perrault, établi trop bas, et a débordé par les bouches de la place de la République et du square Brizeux, inondant, comme nous l'avons dit, les caves de plusieurs maisons à proximité. A Hennebont, le Blavet a débordé. L'eau a inondé les quais et est allée jusqu'au seuil des maisons de la rive droite et de la rive gauche. Quelques centimètres de plus et les maisons étaient inondées A Penmané, la mer a envahi la route de Penmané à Riantec où à certains endroits, des bateaux ont pu naviguer. Plusieurs maisons ont été menacées d'inondation. Le raz de marée a été moins violent sur les côtes morbihannaises. [...] A Quiberon, l'eau est entrée dans les cuisines du sous sol de l'Hôtel de la Plage, semant la panique parmi les marmitons. Le raz de marée a été moins violent sur les côtes morbihannaises. Cependant, l'isthme de Quiberon a été couvert par les eaux près du Fort Penthièvre et la presqu'île a été transformée en île pendant quelques heures. Le train de 4 heures a roulé pendant une centaine de mètres dans l'eau qui couvrait les rails à une hauteur d'une vingtaine de centimètres. C'est le fait le saillant à signaler. [...] A Portivy, le môle du port s'est écroulé sur une longueur d'une soixantaine de mètres ne laissant que la pointe avancée du môle lézardée. A Vannes, Auray, et tout le long des rivières de cette région des inondations se sont produites sans occasionner d'accidents. A Belle-Ile, les quais du port de Palais ont été envahis par l'eau sur le quai Gambetta. Il a fallu recourir aux pompes municipales pour vider les caves. A Groix, le ressac a été particulièrement violent à Port-Tudy, et à Loc-Maria, où la jetée en construction a été bouleversée",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[...] le ressac a été particulièrement violent à Port-Tudy, et à Loc-Maria, où la jetée en construction a été bouleversée"
"France","-3.464746858280705","47.6370595959238",3,2,1904,"Dans notre numéro de mardi, nous signalons les inondations de la Nouvelle-Ville. C'est bien autre chose depuis. Le même jour, la tempête redoublant de violence, et l'ouragan coïncidant avec une grande marée, la mer a envahi le soir .... Des grands vapeurs et une partie des quais. Rue Perrault, square Brizeux et place de la République, toutes les caves ont été inondées. [...] Dans l'arsenal, les flots du Scorff passaient par dessus le pont de bateaux qui relie les chantiers de Caudan à la rive opposée et la plupart des ouvriers ont dû se déchausser pour franchir ce passage. Cette tempête restera parmi celles qui ont causé le plus de dégâts dans notre région. Hier matin, vers quatre heures, au moment où la tempête prenait un redoublement de furie, l'Océan refoulant ses eaux plus violemment encore, a envahi les quartiers précédemment inondés, puis les quais du port militaire et, en arrière encore, la place de la côte d'Alger et toute les maisons riveraines... Aux environs, un des ports de Groix, celui de Locmaria, dans lequel un ouvrage de construction, a été dévasté et plusieurs maisons ont eu leurs soubassements sapés. A Vannes, hier matin, mercredi, par suite de la violence des vents du Sud, la marée a monté à une hauteur extraordinaire. La place de la Poissonnerie, la place du Poids-Public, le bas de la rue Noé, la place de l'Evêché et la rue du Port ont été inondés en partie interrompant la circulation. Les caves des maisons situées sur ce parcours ainsi que quelques-unes de la rue Saint-Vincent ont subi des dégâts par suite de l'invasion des eaux de la mer. A Quiberon, l'isthme du port de Penthièvre qui est l'endroit le plus étroit de la presqu'île, a été totalement recouvert par l'eau , la circulation a été un moment impossible sur la route et le train se rendant à Auray a roulé les roues dans l'eau sur une longueur de 80 à 100 mètres",True,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[...] un des ports de Groix, celui de Locmaria, dans lequel un ouvrage de construction, a été dévasté et plusieurs maisons ont eu leurs soubassements sapés."
"France","-3.464746858280705","47.6370595959238",3,2,1904,"à Larmor on signale des avaries causées par la mer. La nuit dernière l'Océan a été de nouveau soulevé par la tempête du sud : outre les quartiers déjà désignés, les quais du port militaire, les quais et la place d'Alger, ont été envahis ce matin à quatre heure et les maison riveraines en partie noyées. Les habitants ont dû se réfugier aux étages en attendant le flux. [...] à Gâvres on signale des avaries causées par la mer. A Groix, on signale de grands dégâts dans les travaux du port de Locmaria. La mer est très houleuse autour de la presqu'Ile et les navires de pêche chassent sur leurs ancres dans les anses de mouillage. Dans l'après-midi du 2 février, l'isthme du fort de Penthièvre, qui est l'endroit le plus étroit de la presqu'île a été totalement recouvert par l'eau , la circulation a été un moment impossible sur toute la route et le train se rendant à Auray a roulé ses roues dans l'eau sur une longueur de 80 à 100 mètres... Mardi à marée haute, les quais et particulièrement le quai de l'enfer à Saint-Goustan ont été couverts par la mer. Le Palais : Depuis huit jours, nous avons ici un temps détestable. Le vent, la pluie, la grêle se succèdent avec un en train déconcertant, et il n'est pas rare de voir les éclairs et le tonnerre se mettre de la partie. La mer, toujours grosse, balaie sans cesse nos côtes et fait rage dans le port. Le ressac est tellement fort que les bateaux et les vapeurs ne peuvent que difficilement accoster les quais. Mardi matin, à l'heure de la pleine mer, l'eau a débordé de toutes parts sur les quais et un grand nombre de maison ont été inondées. Il a fallu faire appel aux pompes à incendie pour vider les caves et les sous-sols d'un grand nombre de magasins et de maisons particulières.[...] Les quais sont endommagés dans les différents endroits du port",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"A Groix, on signale de grands dégâts dans les travaux du port de Locmaria."
"France","-3.464746858280705","47.6370595959238",3,2,1904,"J'ai l'honneur de vous faire connaître que le raz-de-marée qui s'est produit dans la nuit de 1 au 2 février a eu somme conséquence de nombreuses dégradations aux ouvrages et terre-pleins des ports. Le port de Port-Tudy en particulier a eu à souffrir du violent ressac résultant de l'apparition du raz-de-marée. Il contenait environ 35 bateaux dont 23 dundées qui s'étaient fixés à plusieurs amarres (certains en avaient 7 d'un seul côté) sur les appareils d'amarrage du port (bornes en fonte et en pierre et organeaux en bronze). Les secousses brusques déterminées par le ressac sur les amarres ont arraché plusieurs bornes et brisé de nombreux organeaux, les bornes placées immédiatement derrière la tablette ont entraîné cette dernière qui s'est décollée en certains points. Les terre-pleins ont été submergés par la mer et affouillés en beaucoup de points et certains de ces points avoisinant le pavage de ce dernier a été détérioré sur une assez grande surface",NULL,True,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Il contenait environ 35 bateaux dont 23 dundées qui s'étaient fixés à plusieurs amarres (certains en avaient 7 d'un seul côté) sur les appareils d'amarrage du port (bornes en fonte et en pierre et organeaux en bronze). Les secousses brusques déterminées par le ressac sur les amarres ont arraché plusieurs bornes et brisé de nombreux organeaux, les bornes placées immédiatement derrière la tablette ont entraîné cette dernière qui s'est décollée en certains points. Les terre-pleins ont été submergés par la mer et affouillés en beaucoup de points et certains de ces points avoisinant le pavage de ce dernier a été détérioré sur une assez grande surface"
