"pays","longitude","latitude","eve_jour","eve_mois","eve_annee","imp_descriptif","sou_descriptif_evenement","imp_bati","imp_ouvrage_protection","imp_infrastructure_port","imp_mer","imp_reseau_transport","imp_autre_reseau","imp_foncier_agricole","imp_cote","imp_infrastructure_public","imp_vegetation","imp_degat_humain","imp_risque_techno"
"France","-4.502780101120607","48.39989618456144",14,2,1900,"Un cyclone, comme on en voit rarement dans nos régions, a sévi, avant-hier, brusquement vers neuf heures du soir, étendant ses ravages non seulement à notre région, mais au reste de la France. Les dégâts sont énormes, les victimes nombreuses.","Un cyclone, comme on en voit rarement dans nos régions, a sévi, avant-hier, brusquement vers neuf heures du soir, étendant ses ravages non seulement à notre région, mais au reste de la France. Les dégâts sont énormes, les victimes nombreuses ». Dépèche de Brest du 15 février 1900 Cette tempête s'est traduite par de fortes rafales de sud-ouest sur l'Ouest et le Centre du pays ainsi que par de très violentes rafales de nord-ouest sur le littoral de la Manche. Le département du Maine-et-Loire est un des départements les plus durement touchés. En mer, les sinistres sont nombreux mais les dégâts causés par les vagues sur les communes du littoral ont été limités en raison de coefficients de marée modérés. Le 13 février 1900 à 0 UTC, un vaste système dépressionnaire couvre l'Atlantique Nord-est et une grande partie de l'Europe. Les hautes valeurs de pression sont reléguées de l'autre côté du bassin océanique, entre Terre-Neuve et le Groenland. La tempête est liée au creusement de la dépression positionnée en entrée gauche d'un courant jet qui surplombe les Cantabriques et le sud de la France. 
Cette tempête a fait l’objet d’un compte-rendu dans les Annales du Bureau Central de la Météorologie pour l’année 1900. Le 13 février vers 7h du matin, on observe des vents généralement faibles d’Est à Sud-est pilotés par la présence de deux petites dépressions secondaires situées l’une vers la Bretagne, l’autre vers le Golfe de Gênes. Toutefois, « ils soufflent déjà assez forts de l’Est sur la pointe et le littoral Sud de la Bretagne, fort de Sud-est à Toulouse […]. Le mouvement secondaire de Bretagne domine la situation : à partir de 9h du matin une chute très rapide du baromètre a lieu ; à midi, la baisse atteint déjà 14 mm [un peu moins de 19 hPa] à Brest, où les hauteurs sont tombées dans le voisinage de 735 mm [980 hPa]. La dépression continue de se creuser dans la journée, le minimum semble se produire vers 8h du soir, moment auquel la pression s’abaisse à 729,9 m [973 hPa] à la Pointe St- Mathieu ; en même temps les vents tournent au Sud et deviennent violents. Pendant la nuit du 13 au 14, la bourrasque continue sa marche vers l’Est-Nord-Est, son centre se trouve au nord de Paris vers 3h du matin, et près de Bruxelles (739 mm) [985 hPa], le 14 à 7h du matin. Cette perturbation amène des orages qui éclatent sur la plus grande partie du territoire français, et qui sont suivis d’un violent ouragan […]. Les premiers effets graves de cet ouragan ont été ressentis dans le département des Deux-Sèvres vers 7h du soir, ils se sont ensuite propagés avec une rapidité foudroyante à toutes les régions situées vers l’Est et le Nord-est. On pourra juger de leur importance quand on saura que la bourrasque qui les a causés s’est propagée avec une vitesse dépassant 100 km/h et qu’à Paris, à la tour Eiffel, le vent a atteint à minuit 25, le 14, la vitesse instantanée de 44 m/s (158 km/h), et que 5 heures après la vitesse moyenne était encore de 39,2 m/s (140 km/h) […]. A partir de Bruxelles, le centre de tempête se dirige vers Prague […] et la pression se relève fortement sur nos régions ; en 24 heures la hausse atteint, à Paris 29 mm : une variation d’aussi grande amplitude et aussi brusque se présente seulement une ou deux fois par siècle ». Extrait du compte-rendu d'intervention du canot de sauvetage de Belle-Ile-en-Mer tiré des ""Annales du Sauvetage"" : (Le Palais) - ""Dans la soirée du 13 au 14 février, le vent d'WSW déjà violent vers huit heures devint rapidement de plus en plus fort et soufflait en tempête à dix heures […], vers onze heures la tempête ne faisait qu'augmenter […], entre minuit et une heure, le vent faisant rage sauta à l'WNW […], la mer déjà grosse devint brusquement furieuse […], à partir d'une heure trois-quarts, la force du vent commençait à diminuer."" 
4– Etats de mer 
Alors que le 13 au matin, la mer est dans l’ensemble peu agitée à agitée en l’espace d’une journée elle devient nettement plus formée jusqu’à devenir très grosse à la fois en Manche comme à Cherbourg ou en Atlantique comme à la pointe de Chassiron en Charente. A Brest, la surcote maximale est observée le 13 vers 20 heures soit deux heures avant la basse mer. Elle atteint 59 cm, ce qui est plus que le seul effet du minimum barométrique estimé alors à 973 hPa. Les vents orientés sud à sud-ouest sont donc à l’origine d’un afflux des eaux de surface à la côte. La hauteur maximale observée est de 6,88 m, le 13 à 16 UTC, à marée montante alors que la dépression approche. Il aurait été intéressant de mener la même étude à partir des données de marégraphes situés en Manche et de voir comment s'est traduit le coup de vent de nord-ouest en terme de surcote lors de la pleine mer du 14. 
5 Impact La violente tempête qui a sévi dans la nuit du 13 au 14 a provoqué d’importants dégâts sur les communes du littoral de la Manche et de l’Atlantique mais également dans l’intérieur. On relève plusieurs accidents mortels liés à des chutes d’arbres ou consécutifs à des effondrements de toitures. La tempête a entraîné de fréquents problèmes de communications : la circulation des trains a été contrariée par la présence d’obstacles en travers des voies et de nombreux poteaux télégraphiques ont été jetés à terre. Le monde de la mer a eu à déplorer la perte de nombreux bateaux et la disparition de plusieurs marins. Les Annales du BCM cite le Maine-et-Loire comme le département où l’étendue des dégâts liés à la tempête serait la plus importante : on y relève plusieurs victimes, d'importants dégâts sur les toitures et les édifices, ainsi que de nombreux bateaux-lavoirs et barges coulés. 
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"France","-3.170920557237764","47.34281348685312",25,11,1902,"Violente tempête du Sud à Belle-Île. Un « raz de marée » a occasionné beaucoup de dégâts dans le port du Palais.","Violente tempête du Sud à Belle-Île. Un « raz de marée » a occasionné beaucoup de dégâts dans le port du Palais. » (L'Avenir du Morbihan, 29-11-1902). Photos ci-dessous du Palais (Belle-Île). Cette tempête affecte l'Atlantique et la Manche (raz de marée à Calais).",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"France","1.8759118288679701","50.95005633613118",25,11,1902,"[...] Cette tempête affecte l'Atlantique et la Manche (raz de marée à Calais).","Violente tempête du Sud à Belle-Île. Un « raz de marée » a occasionné beaucoup de dégâts dans le port du Palais. » (L'Avenir du Morbihan, 29-11-1902). Photos ci-dessous du Palais (Belle-Île). Cette tempête affecte l'Atlantique et la Manche (raz de marée à Calais).",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"France","-3.2307937723145983","47.353962092676625",27,2,1903,"Réparation du Môle - La tempête de février 1903 a causé au môle du port de Port- Blanc des dégâts très importants. Une brèche de 25 mètres de longueur a été creusée dans cet ouvrage par la grosse mer. La démolition est complète sur toute la hauteur du môle","Port de Port-Blanc (Belle-Ile-en-Mer) - Réparation du Môle - La tempête de février 1903 a causé au môle du port de Port- Blanc des dégâts très importants. Une brèche de 25 mètres de longueur a été creusée dans cet ouvrage par la grosse mer. La démolition est complète sur toute la hauteur du môle",NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"France","-3.378831036722829","47.750261137042",27,2,1903,"Quelques caves des quais ont été inondés","Lorient, malgré la violence de la tempête, les dégâts ont été relativement peu importants. Quelques caves des quais ont été inondés",True,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"France","-1.1745787200317181","44.65335583900094",1,3,1903,"Pertes dans le début des travaux de la jetée Thiers, quelques bateaux envolés, parcs à  huitres détruits partiellement.","Pertes dans le début des travaux de la jetée Thiers, quelques bateaux envolés, parcs à  huitres détruits partiellement. Toutefois cette tempête ne causera probablement pas d'aussi grands ravages que d'autres parce qu'elle est venue progressivement, ce qui a donné le temps de se précautionner dans la mesure du possible",NULL,NULL,True,True,NULL,NULL,True,NULL,NULL,NULL,NULL,NULL
"France","0.20472630037863837","49.70402599290543",10,9,1903,"Sur la plage près de deux cents cabines de bains sont enlevées par la mer en furie. Les bureaux des bains, le magasin des costumes, les deux tremplins et les trois escaliers du casino ont disparu.","La tempête éclate dans la nuit du jeudi 10 septembre 1903, causant des dégâts très importants. Sur la plage près de deux cents cabines de bains sont enlevées par la mer en furie. Les bureaux des bains, le magasin des costumes, les deux tremplins et les trois escaliers du casino ont disparu.",True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,True,NULL,NULL,NULL
"France","-3.4197363166876538","47.784071637585036",12,12,1903,"Des dégâts ayant été occasionnés à mes travaux de construction de la route de Kerdual à Sac Quéven [...]","Des dégâts ayant été occasionnés à mes travaux de construction de la route de Kerdual à Sac Quéven à la suite de la tempête qui a sévi les vendredi et samedi 11 et 12 courant, j'ai l'honneur de venir vous demander de vouloir bien, en raison de cas de force majeure prévu par l'article 28 du cahier des clauses et conditions générales, faire qu'il m'en soit tenu compte",NULL,NULL,NULL,NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"France","-3.170920557237764","47.34281348685312",12,12,1903,"[...] la mer très grosse déferle sur la digue sud du port de Palais. A certain moment les lames ont atteint une telle hauteur qu'elles ont recouvert l'Abri du Marin qui a été inondé","Depuis le 11 décembre le vent souffle en tempête du Sud-Sud-Est et la mer très grosse déferle sur la digue sud du port de Palais. A certain moment les lames ont atteint une telle hauteur qu'elles ont recouvert l'Abri du Marin qui a été inondé",True,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"France","-3.1228501831892572","47.487977398438375",12,12,1903,"Le brise-lames de Port-Maria de Quiberon a subi dans la nuit du 13 au 14 janvier 1904 une très grave avarie, [...]. Cet ouvrage a été percé de part en part. La brèche formée avait une longueur de 13m sur les faces extérieures, 5,20 au centre et une hauteur de 2m80 à 3m50 représentant 120m3 de maçonnerie","Le brise-lames de Port-Maria de Quiberon a subi dans la nuit du 13 au 14 janvier 1904 une très grave avarie, par une forte tempête d'Est et Sud-Est. Cet ouvrage a été percé de part en part. La brèche formée avait une longueur de 13m sur les faces extérieures, 5,20 au centre et une hauteur de 2m80 à 3m50 représentant 120m3 de maçonnerie",NULL,True,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
