"pays","longitude","latitude","nvm_imp_id","nvm_hauteur_max_observee","nvm_date_hauteur_max_observee","nvm_hauteur_max_instantanee","nvm_date_hauteur_max_instantanee","nvm_surcote_pleine_mer","nvm_surcote_instantanee","nvm_id","nvm_extrait_source"
"France","-0.9774470901109567","44.774458623067176",2842,"435","1905-03-12 10:15:00",NULL,NULL,"75",NULL,32,"Toutes les caves des habitations du quartier avoisinant le square Brizieux ont été envahies par les eaux. La cote de la marée de 10h15 ce matin qui devait être de 3, 60 m a atteint la hauteur de 4,35 m deux heures après la pleine mer le flot n'avait pas encore commencé à descendre"
"France","-1.8641604117734119","49.54928491306845",1760,"614","1909-12-02 07:00:00","414","1909-12-02 23:19:00","-10","52",410,NULL
"France","2.3747508422046875","51.04373725803511",2744,"380","1941-02-16 00:00:00",NULL,NULL,"131",NULL,7,"data in m NGF. modeled data.surge max 159. Storm Track : from South West (modeled) / Wind Speed max (m/s) 29 at Les Mathes (measured) / Wind direction : 210° (measured)  / Lowest pressure 971 hPa at Les Mathes (measured) / Hs max : 8m, Tp (s) 11 / Dm 210°"
"France","-3.3021670167942148","48.81591666622131",2743,"410","1941-02-16 00:00:00",NULL,NULL,"167",NULL,19,"archives data. surge max 170. Storm Track : from South West (modeled) / Wind Speed max (m/s) 29 at Les Mathes (measured) / Wind direction : 210° (measured)  / Lowest pressure 971 hPa at Les Mathes (measured) / Hs max : 8m, Tp (s) 11 / Dm 210°"
"France","-1.1841695450074987","46.157783212854476",2744,"380","1941-02-16 00:00:00",NULL,NULL,"131",NULL,6,"data in m NGF. modeled data. surge max: 159. Storm Track : from South West (modeled) / Wind Speed max (m/s) 29 at Les Mathes (measured) / Wind direction : 210° (measured)  / Lowest pressure 971 hPa at Les Mathes (measured) / Hs max : 8m, Tp (s) 11 / Dm 210°"
"France","1.0407154961234255","49.90260291699121",2350,"490","1965-01-20 05:20:00","258","1965-01-20 14:19:00","33","65",83,NULL
"France","-1.1578441850909211","44.661816052752954",2348,"603","1965-01-20 06:04:00","376","1965-01-20 15:06:00","50","90",387,NULL
"France","1.650402750986359","50.382149369398064",2355,"573","1965-11-29 06:49:00","513","1965-11-29 11:25:00","90","180",306,NULL
"France","-2.8757536492951723","47.339616226967145",1781,"423","1967-03-10 03:10:00","193","1967-03-10 23:39:00","17","24",25,NULL
"France","-1.6816882141396263","48.11157005531396",1779,"605","1967-03-13 01:06:00","353","1967-03-11 09:45:00","23","69",392,NULL
"France","-3.302711917567834","47.71810101546159",1790,"480","1967-10-04 15:37:00","220","1967-10-04 06:39:00","-2","9",70,NULL
"France","-1.5501286025528316","48.57893701802914",1788,"588","1967-10-04 16:18:00","575","1967-10-04 04:49:00","17","44",343,NULL
"France","-2.762054270587953","48.51459033137888",2361,"580","1967-10-15 14:06:00","536","1967-10-12 09:01:00","10","105",321,NULL
"France","-2.0231800464421434","48.65114175430354",2364,"556","1967-10-15 14:15:00","193","1967-10-15 20:39:00","18","52",239,NULL
"France","-2.7606079872749154","47.65180508666467",2362,"506","1967-10-15 14:42:00","361","1967-10-12 14:43:00","12","25",112,NULL
"France","-3.4197363166876538","47.784071637585036",1799,"480","1967-11-02 02:51:00","407","1967-11-02 01:05:00","23","30",71,NULL
"France","2.210771327053174","51.03169536825533",1797,"625","1967-11-02 16:03:00","431","1967-11-02 12:57:00","58","72",436,NULL
"France","2.373498691491341","51.036694832669056",2370,"570","1968-01-06 03:34:00","252","1968-01-09 11:27:00","33","40",294,NULL
"France","-1.1469549386003066","45.77282442478083",2371,"521","1968-01-06 06:10:00","355","1968-01-09 06:00:00","-6","37",131,NULL
"France","-3.8701786380490053","47.85268201132396",2372,"468","1968-01-06 08:15:00","246","1968-01-07 02:56:00","2","50",58,NULL
"France","-1.6181697340836372","49.632501955325004",1806,"460","1970-02-10 06:08:00","233","1970-02-13 16:39:00","11","38",50,NULL
"France","2.110176940482737","50.998396738514955",1805,"625","1970-02-10 06:10:00","561","1970-02-12 10:00:00","21","112",437,NULL
"France","-1.5936957014952782","48.59689839754316",1820,"591","1972-02-14 11:34:00","444","1972-02-12 07:53:00","16","72",354,NULL
"France","-4.160750640229708","47.85387749335183",1826,"445","1972-02-15 03:40:00","287","1970-02-13 05:19:00","6","41",37,NULL
"France","-3.3635027840841896","47.75886665703172",1825,"609","1972-02-15 03:44:00","349","1970-02-13 08:12:00","7","183",402,NULL
"France","-2.0292868458064803","47.28706837943656",1821,"621","1972-02-15 03:56:00","324","1970-02-13 08:26:00","-6","153",421,NULL
"France","-1.1527007984029751","46.154514163697854",1824,"549","1972-02-15 04:17:00","256","1970-02-13 09:11:00","8","105",206,NULL
"France","2.1441266350363435","50.99732556622206",1831,"581","1974-01-14 03:35:00","343","1974-01-17 02:06:00","1","145",325,NULL
"France","-2.871197710363776","47.532399909196016",1832,"569","1974-01-14 07:21:00","569","1974-01-14 07:26:00","20","22",290,NULL
"France","-3.3500023188517503","47.70954132677099",1833,"558","1974-01-14 07:26:00","182","1974-01-14 00:55:00","14","22",251,NULL
"France","2.3741579980240584","51.0373902633898",1838,"400","1974-01-14 07:39:00","137","1974-01-14 00:00:00","3","11",16,NULL
"France","-4.495039939341552","48.38290023985434",1847,"586","1974-02-06 03:16:00","165","1974-02-06 09:48:00","46","67",337,NULL
"France","-2.3036587718355945","47.52018114132364",1849,"480","1974-02-07 03:24:00","98","1974-02-06 20:06:00","16","26",72,NULL
"France","-1.1745787200317181","44.65335583900094",1858,"571","1974-02-09 05:37:00","545","1974-02-11 19:08:00","5","58",300,NULL
"France","-4.3727004968590215","47.80606909355328",2385,"568","1974-07-05 16:06:00","565","1974-07-05 16:24:00","11","12",286,NULL
"France","-2.0755838007151346","46.79569392972043",2383,"499","1974-07-05 16:45:00","149","1974-07-04 21:53:00","3","12",100,NULL
"France","-1.8084066195696664","48.59323536262207",1865,"571","1976-12-02 04:25:00","371","1976-12-01 21:09:00","42","82",301,NULL
"France","-1.0511029884120262","45.843318983484494",1871,"532","1976-12-03 01:54:00","473","1976-12-01 22:32:00","70","110",153,NULL
"France","-1.110875914811938","45.49598148956523",1868,"574","1976-12-03 13:28:00","528","1976-12-01 21:55:00","40","102",308,NULL
"France","-2.23136156218618","46.96701150547676",1872,"549","1976-12-03 13:34:00","441","1976-11-30 14:57:00","40","103",208,NULL
"France","1.0844900003134512","49.92916999999568",1869,"610","1976-12-03 14:08:00","365","1976-12-01 16:55:00","22","65",407,NULL
"France","-1.0022982491449974","49.382095100329806",2659,"554","1977-11-12 03:52:00","267","1977-11-16 15:42:00","1","14",229,NULL
"France","-1.0908732306149318","46.366217068063406",2663,"559","1977-11-13 05:03:00","145","1977-11-15 00:12:00","-2","31",256,NULL
"France","-1.3165096983637454","46.32116880459682",2666,"462","1977-11-14 05:12:00","250","1977-11-16 22:59:00","4","23",51,NULL
